epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
72,1193.58,1.43606,1.24405,1.26558,0.84432,0.66321,0.78988,0.45688,1.26974,0.87448,1.22029,0.00108113,0.00108113,0.00108113
73,1209.82,1.41016,1.19087,1.23457,0.8403,0.74445,0.82597,0.46207,1.25323,0.84843,1.19755,0.00107288,0.00107288,0.00107288
74,1227.4,1.41231,1.1468,1.22692,0.877,0.6906,0.80283,0.4582,1.26139,0.83615,1.21643,0.00106463,0.00106463,0.00106463
75,1243.77,1.39351,1.13878,1.21483,0.78109,0.74595,0.82062,0.47812,1.24495,0.82047,1.18107,0.00105638,0.00105638,0.00105638
76,1260.16,1.39882,1.16998,1.21786,0.86244,0.68385,0.81832,0.46861,1.2338,0.83521,1.18109,0.00104813,0.00104813,0.00104813
77,1276.36,1.41317,1.17163,1.2245,0.80515,0.73422,0.81509,0.46632,1.20351,0.81082,1.17025,0.00103987,0.00103987,0.00103987
78,1292.78,1.38583,1.13309,1.20686,0.82721,0.70439,0.79465,0.44496,1.20492,0.82918,1.18242,0.00103162,0.00103162,0.00103162
79,1309.45,1.40494,1.15894,1.23254,0.86965,0.72126,0.8189,0.46475,1.22077,0.817,1.18685,0.00102337,0.00102337,0.00102337
80,1326.07,1.37247,1.13099,1.214,0.83901,0.71949,0.82369,0.46973,1.22681,0.83118,1.18152,0.00101512,0.00101512,0.00101512
81,1342.6,1.36569,1.11565,1.21191,0.85233,0.72908,0.82827,0.4825,1.2116,0.79522,1.17688,0.00100687,0.00100687,0.00100687
82,1359.23,1.36411,1.09938,1.2021,0.87958,0.72599,0.83136,0.49163,1.19298,0.77953,1.172,0.000998616,0.000998616,0.000998616
83,1375.65,1.39291,1.12514,1.21252,0.85988,0.66813,0.79716,0.47015,1.18461,0.80418,1.1579,0.000990365,0.000990365,0.000990365
84,1392.85,1.37338,1.12914,1.20253,0.88332,0.69252,0.82843,0.48292,1.15022,0.77363,1.16362,0.000982113,0.000982113,0.000982113
85,1409.69,1.34936,1.11753,1.19588,0.83366,0.75084,0.8305,0.48204,1.151,0.78865,1.16955,0.000973861,0.000973861,0.000973861
86,1426.19,1.35274,1.08239,1.20175,0.88707,0.70628,0.82436,0.48627,1.17406,0.76223,1.16826,0.00096561,0.00096561,0.00096561
87,1442.51,1.36147,1.10294,1.19186,0.87902,0.71164,0.81963,0.48238,1.18251,0.75325,1.1762,0.000957358,0.000957358,0.000957358
88,1458.89,1.33918,1.07901,1.176,0.80116,0.77533,0.8149,0.4823,1.18857,0.75584,1.18443,0.000949106,0.000949106,0.000949106
89,1475.14,1.32238,1.05847,1.18084,0.88755,0.70815,0.83878,0.48749,1.19947,0.7746,1.18729,0.000940855,0.000940855,0.000940855
90,1491.4,1.3424,1.07261,1.1821,0.89286,0.69008,0.81678,0.47832,1.19047,0.77269,1.15194,0.000932603,0.000932603,0.000932603
91,1507.64,1.35731,1.0672,1.18558,0.86876,0.71997,0.84403,0.49224,1.1714,0.78333,1.16433,0.000924352,0.000924352,0.000924352
92,1523.95,1.3365,1.04546,1.1737,0.82916,0.74772,0.83245,0.49112,1.1944,0.75286,1.15355,0.0009161,0.0009161,0.0009161
93,1540.09,1.34375,1.04923,1.18385,0.87113,0.71493,0.82916,0.49002,1.14752,0.74303,1.13104,0.000907848,0.000907848,0.000907848
94,1556.3,1.34623,1.06995,1.18549,0.82957,0.77032,0.82878,0.49716,1.12366,0.73581,1.13864,0.000899597,0.000899597,0.000899597
95,1574.5,1.27536,1.03183,1.15977,0.81168,0.77032,0.83912,0.50201,1.10958,0.72646,1.13199,0.000891345,0.000891345,0.000891345
96,1592.08,1.30985,1.02069,1.16175,0.83381,0.77857,0.85487,0.51005,1.11537,0.72028,1.13801,0.000883093,0.000883093,0.000883093
97,1608.75,1.32501,1.06238,1.18042,0.8301,0.76368,0.84535,0.50624,1.1312,0.74506,1.14618,0.000874842,0.000874842,0.000874842
98,1625.18,1.28554,1.02617,1.17101,0.89419,0.7316,0.84223,0.5025,1.10865,0.73592,1.13445,0.00086659,0.00086659,0.00086659
